               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082219,            0.027986,            0.042984,            0.001034,             0.22727,           0.0026957,          0.00076207,            0.047198,            0.016645,            0.025941,              0.0955,              0.0005,              0.0005
                   1,            0.075839,            0.026548,            0.042408,           0.0017873,             0.41414,            0.009244,           0.0031831,            0.034926,            0.015425,            0.025287,            0.090093,           0.0010927,           0.0010927
                   2,            0.063135,             0.02978,            0.045288,           0.0029718,             0.65859,            0.018259,            0.005172,            0.031322,            0.014654,            0.025575,            0.084678,           0.0016776,           0.0016776
                   3,            0.060416,            0.029256,            0.044354,             0.01339,              0.5697,              0.0333,            0.013585,            0.027669,            0.013868,             0.02634,            0.079254,           0.0022545,           0.0022545
                   4,            0.055235,            0.027954,            0.045002,             0.04784,             0.27475,            0.067122,            0.028218,            0.024445,            0.012749,            0.026431,            0.073823,           0.0028234,           0.0028234
                   5,            0.049647,            0.026283,            0.043986,             0.44154,            0.087879,             0.11563,            0.050716,            0.022903,            0.011849,            0.025534,            0.068385,           0.0033845,           0.0033845
                   6,            0.039232,             0.02582,            0.039635,             0.29558,             0.29309,             0.12009,            0.057862,            0.025392,            0.011529,            0.025012,            0.062938,           0.0039376,           0.0039376
                   7,            0.036546,            0.022664,            0.038603,             0.20135,             0.39192,             0.17792,            0.089013,            0.024887,             0.01105,            0.025095,            0.057483,           0.0044829,           0.0044829
                   8,            0.043975,            0.022611,            0.044081,             0.16042,             0.45051,             0.20028,            0.089708,            0.028013,           0.0091466,            0.024683,             0.05202,           0.0050202,           0.0050202
                   9,            0.047021,             0.02055,            0.042335,            0.083374,             0.19493,             0.16284,            0.048174,            0.029111,           0.0067729,            0.024472,             0.04655,           0.0055495,           0.0055495
                  10,            0.056535,            0.018117,             0.04672,             0.16952,              0.2984,             0.22276,             0.12725,            0.018438,           0.0066157,            0.024307,            0.041071,            0.006071,            0.006071
                  11,             0.04606,            0.020067,            0.046116,             0.16057,             0.22179,              0.1656,             0.10983,            0.022589,           0.0061095,            0.024348,            0.035585,           0.0065845,           0.0065845
                  12,            0.037478,             0.02095,            0.044238,            0.093664,             0.31543,             0.17446,            0.084656,            0.029837,           0.0056254,            0.023602,             0.03009,           0.0070902,           0.0070902
                  13,            0.039787,            0.017226,            0.036407,            0.077228,             0.38586,             0.14162,            0.080995,            0.028906,           0.0054587,            0.022625,            0.024588,           0.0075879,           0.0075879
                  14,            0.049955,            0.017097,            0.045611,             0.20537,             0.42789,             0.16852,            0.075336,            0.026131,           0.0057349,            0.022119,            0.019078,           0.0080776,           0.0080776
                  15,            0.038155,            0.018875,            0.040533,             0.11044,             0.47172,             0.25546,             0.15588,            0.019406,           0.0062927,            0.021586,             0.01356,           0.0085595,           0.0085595
                  16,            0.032401,            0.017355,             0.03525,             0.22719,              0.4404,             0.29863,              0.1708,            0.026273,           0.0056822,            0.021954,            0.008944,            0.008944,            0.008944
                  17,            0.037914,            0.016205,            0.035335,             0.29381,             0.41818,             0.30655,              0.1619,            0.022712,           0.0052394,            0.022316,            0.008944,            0.008944,            0.008944
                  18,            0.035662,            0.015819,            0.035347,             0.24824,             0.38384,             0.25402,             0.14782,             0.03067,           0.0052548,             0.02287,            0.008878,            0.008878,            0.008878
                  19,            0.043699,            0.016695,             0.04095,             0.33879,             0.34389,             0.37711,             0.21488,            0.026176,           0.0053249,            0.022458,            0.008812,            0.008812,            0.008812
                  20,            0.031872,            0.017353,             0.03362,              0.3024,             0.44584,             0.41758,             0.15205,            0.021498,           0.0056346,            0.022046,            0.008746,            0.008746,            0.008746
                  21,            0.028931,            0.017292,            0.034399,             0.29545,             0.51825,             0.40919,             0.24848,              0.0248,           0.0056956,            0.020641,             0.00868,             0.00868,             0.00868
                  22,            0.038699,            0.017283,             0.03608,             0.34305,             0.43131,             0.39643,             0.18163,            0.021382,            0.005258,            0.019961,            0.008614,            0.008614,            0.008614
                  23,            0.048499,            0.016211,            0.040104,             0.34578,             0.52828,             0.47915,             0.29837,            0.016354,            0.005229,            0.018814,            0.008548,            0.008548,            0.008548
                  24,             0.03338,            0.016253,            0.042161,             0.23297,             0.52322,             0.32799,             0.17675,            0.023401,           0.0049535,            0.018473,            0.008482,            0.008482,            0.008482
                  25,            0.027313,            0.016484,            0.031498,             0.40893,             0.62148,             0.41137,             0.17362,            0.023047,           0.0049094,            0.018553,            0.008416,            0.008416,            0.008416
                  26,             0.03541,            0.013117,            0.031233,             0.42742,             0.59115,             0.48349,             0.28125,            0.024161,           0.0046815,            0.018487,             0.00835,             0.00835,             0.00835
                  27,            0.040218,            0.014585,             0.03314,             0.42019,             0.64002,             0.43401,              0.2584,            0.024108,           0.0047378,            0.018523,            0.008284,            0.008284,            0.008284
                  28,            0.035773,            0.016207,            0.034721,             0.42284,             0.58603,             0.49007,             0.29403,            0.018837,           0.0046933,            0.018592,            0.008218,            0.008218,            0.008218
                  29,            0.032689,            0.013747,             0.03145,             0.54081,              0.5755,             0.57151,             0.30729,            0.014691,           0.0047989,            0.018484,            0.008152,            0.008152,            0.008152
                  30,            0.041825,            0.015746,             0.04239,             0.59209,             0.63652,             0.62377,             0.40711,            0.013545,           0.0046003,            0.018249,            0.008086,            0.008086,            0.008086
                  31,            0.025236,            0.013383,            0.029009,             0.37905,             0.62705,             0.50636,             0.22249,             0.01778,           0.0047021,            0.018091,             0.00802,             0.00802,             0.00802
                  32,            0.028891,            0.016002,            0.027853,             0.56034,             0.62784,             0.63472,              0.3949,            0.015515,           0.0047112,            0.018404,            0.007954,            0.007954,            0.007954
